AR,phi,R/L,Fr,Qa/Qw,sigma
1.666666667,10,0.000425,83.883,3.92739153,-2.139558704
1.666666667,15,0.003730,8.852,0,31.81023577
1.666666667,15,0.003730,17.705,0.740806149,7.738736145
1.666666667,15,0.003730,26.557,0.887293241,3.227724438
1.666666667,15,0.003730,35.410,1.113301897,1.505224679
1.666666667,15,0.003730,44.262,1.402927804,0.505550476
1.666666667,15,0.003730,53.115,1.501143911,0.005627788
1.666666667,15,0.003730,61.967,1.580864777,-0.324531973
1.666666667,15,0.001865,8.852,0,31.81023577
1.666666667,15,0.001865,17.705,1.330939861,7.262379987
1.666666667,15,0.001865,26.557,2.128945732,1.768538419
1.666666667,15,0.001865,35.410,2.278920612,-0.035360416
1.666666667,15,0.001865,44.262,2.440893482,-1.048950607
1.666666667,15,0.001865,53.115,2.599099541,-1.74841136
1.666666667,15,0.001865,61.967,2.737215941,-2.270005596
1.666666667,15,0.000933,8.852,0,31.81023577
1.666666667,15,0.000933,17.705,1.238862261,7.354573109
1.666666667,15,0.000933,26.557,2.134526193,1.75926845
1.666666667,15,0.000933,35.410,2.758142669,-0.975860967
1.666666667,15,0.000933,44.262,3.120593587,-2.521782288
1.666666667,15,0.000933,53.115,3.091575192,-2.840337781
1.666666667,15,0.000933,61.967,3.306422926,-3.610341263
1.666666667,15,0.000622,8.852,0,31.81023577
1.666666667,15,0.000622,17.705,1.192823461,7.398192168
1.666666667,15,0.000622,26.557,1.576480129,2.566144067
1.666666667,15,0.000622,35.410,2.444241758,-0.339593285
1.666666667,15,0.000622,44.262,2.769024567,-1.715025579
1.666666667,15,0.000622,53.115,2.949273445,-2.505408565
1.666666667,15,0.000622,61.967,3.178470936,-3.287049406
1.666666667,20,0.004840,6.960,0,38.59187603
1.666666667,20,0.004840,13.921,0.459842088,9.501502018
1.666666667,20,0.004840,20.881,0.615427757,4.025638997
1.666666667,20,0.004840,27.841,0.755454858,2.016680834
1.666666667,20,0.004840,34.802,0.914152241,0.964833918
1.666666667,20,0.004840,41.762,1.115606869,0.20992229
1.666666667,20,0.004840,52.354,1.458048562,-0.790419523
1.666666667,20,0.002420,6.960,0.394150361,38.48426763
1.666666667,20,0.002420,13.921,0.771013425,9.236207068
1.666666667,20,0.002420,20.881,1.187061028,3.311944428
1.666666667,20,0.002420,27.841,1.44348926,0.968716099
1.666666667,20,0.002420,34.802,2.168518477,-1.713556079
1.666666667,20,0.002420,41.762,2.478998323,-3.184720538
1.666666667,20,0.002420,52.656,2.714701669,-4.430356863
1.666666667,20,0.001210,6.960,0.518618896,38.4055734
1.666666667,20,0.001210,13.921,0.954258769,9.017222812
1.666666667,20,0.001210,20.881,1.318444482,3.083932085
1.666666667,20,0.001210,27.841,1.851469459,0.037583817
1.666666667,20,0.001210,34.802,2.465859977,-2.668041604
1.666666667,20,0.001210,41.762,2.616144208,-3.66873846
1.666666667,20,0.001210,51.446,2.618598327,-4.043228513
1.666666667,20,0.000807,6.960,0,38.59187603
1.666666667,20,0.000807,13.921,0.857449908,9.13870869
1.666666667,20,0.000807,20.881,1.198585893,3.292900159
1.666666667,20,0.000807,27.841,1.685511412,0.444170684
1.666666667,20,0.000807,34.802,2.109050177,-1.537356513
1.666666667,20,0.000807,41.762,1.777134083,-1.115577248
1.666666667,20,0.000807,51.143,2.03744599,-2.160585777
1.666666667,30,0.006910,5.436,0.192779549,42.12204392
1.666666667,30,0.006910,10.872,0.375920121,10.32475103
1.666666667,30,0.006910,16.308,0.589584121,4.144915779
1.666666667,30,0.006910,21.744,0.914497987,1.332869848
1.666666667,30,0.006910,27.180,1.168244068,-0.439823585
1.666666667,30,0.006910,32.616,1.270738528,-1.344951977
1.666666667,30,0.006910,38.052,1.440338632,-2.372395493
1.666666667,30,0.003455,5.436,0.322905745,42.01746255
1.666666667,30,0.003455,10.872,0.660269956,9.865555925
1.666666667,30,0.003455,16.308,1.032977084,3.02368574
1.666666667,30,0.003455,21.744,1.459100213,-0.681742337
1.666666667,30,0.003455,27.180,1.682001567,-2.721979453
1.666666667,30,0.003455,32.616,1.828192725,-4.037267597
1.666666667,30,0.003455,38.052,1.885108592,-4.67749855
1.666666667,30,0.001728,5.436,0.366281143,41.97087335
1.666666667,30,0.001728,10.872,0.60725558,9.970282093
1.666666667,30,0.001728,16.308,0.835378047,3.599058232
1.666666667,30,0.001728,21.744,1.160291912,0.538084028
1.666666667,30,0.001728,27.180,1.283911798,-0.8818672
1.666666667,30,0.001728,32.616,1.348653596,-1.66302498
1.666666667,30,0.001728,38.711,1.476732364,-2.566904897
1.666666667,30,0.001152,5.436,0,42.17996368
1.666666667,30,0.001152,10.872,0.542192482,10.08683656
1.666666667,30,0.001152,16.308,0.743807761,3.824426435
1.666666667,30,0.001152,21.744,0.981970829,1.133444871
1.666666667,30,0.001152,27.180,0.79521564,0.701657615
1.666666667,30,0.001152,32.616,1.028157596,-0.475829764
1.666666667,30,0.001152,38.711,1.025997371,-0.808819085
1.666666667,40,0.008780,4.173,0,53.68863227
1.666666667,40,0.008780,8.345,0.275266952,13.21222036
1.666666667,40,0.008780,12.518,0.390131434,5.543703004
1.666666667,40,0.008780,16.691,0.520968195,2.603562211
1.666666667,40,0.008780,20.864,0.711208245,0.746100873
1.666666667,40,0.008780,25.036,0.844151988,-0.482996665
1.666666667,40,0.008780,28.674,0.888386428,-1.049733014
1.666666667,40,0.004390,4.173,0.26507188,53.49395752
1.666666667,40,0.004390,8.345,0.440427124,12.88471752
1.666666667,40,0.004390,12.518,0.656562657,4.771045185
1.666666667,40,0.004390,16.691,0.905322421,1.084687333
1.666666667,40,0.004390,20.864,1.035003741,-0.820470125
1.666666667,40,0.004390,25.036,1.083396351,-1.760697875
1.666666667,40,0.004390,28.674,1.123983898,-2.363326056
1.666666667,40,0.002195,4.173,0.244681736,53.52275556
1.666666667,40,0.002195,8.345,0.481207413,12.78058381
1.666666667,40,0.002195,12.518,0.685108859,4.664930166
1.666666667,40,0.002195,16.691,0.77686451,1.68339859
1.666666667,40,0.002195,20.864,0.733229601,0.657970576
1.666666667,40,0.002195,25.036,0.803371698,-0.296846133
1.666666667,40,0.002195,28.781,0.862616817,-0.933151156
1.666666667,40,0.001463,4.173,0.236525678,53.5336297
1.666666667,40,0.001463,8.345,0.458778254,12.83899775
1.666666667,40,0.001463,12.518,0.572283393,5.057991417
1.666666667,40,0.001463,16.691,0.571943557,2.449204715
1.666666667,40,0.001463,20.864,0.50893801,1.429896285
1.666666667,40,0.001463,25.036,0.60762631,0.46839843
1.666666667,40,0.001463,28.567,0.632002842,0.038808306
1.666666667,60,0.012050,2.679,0,86.83172108
1.666666667,60,0.012050,5.358,0.112367427,21.62921741
1.666666667,60,0.012050,8.037,0.240869665,9.286285216
1.666666667,60,0.012050,10.716,0.357847038,4.628694412
1.666666667,60,0.012050,13.395,0.455693137,2.178745738
1.666666667,60,0.012050,16.074,0.535906192,0.621623943
1.666666667,60,0.012050,18.986,0.576165443,-0.340614317
1.666666667,60,0.006025,2.679,0,86.83172108
1.666666667,60,0.006025,5.358,0.238564692,21.35313553
1.666666667,60,0.006025,8.037,0.308866365,9.053257882
1.666666667,60,0.006025,10.716,0.382049253,4.517061874
1.666666667,60,0.006025,13.395,0.385852459,2.545141912
1.666666667,60,0.006025,16.074,0.437944845,1.21634335
1.666666667,60,0.006025,18.928,0.429661128,0.588666358
1.666666667,60,0.003013,2.679,0,86.83172108
1.666666667,60,0.003013,5.358,0.186702803,21.49062688
1.666666667,60,0.003013,8.037,0.227039828,9.326625946
1.666666667,60,0.003013,10.716,0.178923519,5.227410529
1.666666667,60,0.003013,13.395,0.161809096,3.310049851
1.666666667,60,0.003013,16.074,0.172296722,2.226929566
1.666666667,60,0.003013,18.928,0.185468756,1.525071415
1.666666667,60,0.002008,2.679,0,86.83172108
1.666666667,60,0.002008,5.358,0,21.70793027
1.666666667,60,0.002008,8.037,0.024074161,9.62967823
1.666666667,60,0.002008,10.716,0.039184539,5.378525252
1.666666667,60,0.002008,13.395,0.038032052,3.464251796
1.666666667,60,0.002008,16.074,0.054743106,2.393310238
1.666666667,60,0.002008,18.637,0.049700978,1.778897034
1,10,0.005543,11.95614,0,16.15389233
1,10,0.005543,23.91227,0.715694076,3.947513639
1,10,0.005543,35.86841,0.986656443,1.622004843
1,10,0.005543,47.82455,1.491029326,0.614829016
1,10,0.005543,59.78068,2.880447764,-0.827218167
1,10,0.005543,71.73682,3.1219577,-1.282081147
1,10,0.005543,83.02873,3.206309462,-1.490625318
1,10,0.002771,11.95614,0.432950738,16.1206057
1,10,0.002771,23.91227,1.153062679,3.802371563
1,10,0.002771,35.86841,1.811324514,1.2122568
1,10,0.002771,47.82455,2.542481117,-0.138293277
1,10,0.002771,59.78068,4.046764037,-2.261940155
1,10,0.002771,71.73682,4.653484118,-3.396750744
1,10,0.002771,83.02873,4.714038317,-3.611233588
1,10,0.001386,11.95614,0.53014376,16.10398317
1,10,0.001386,23.91227,1.206077055,3.780161987
1,10,0.001386,35.86841,2.382701678,0.786710352
1,10,0.001386,47.82455,3.381875404,-1.021373478
1,10,0.001386,59.78068,3.990215369,-2.181233716
1,10,0.001386,71.73682,4.503276719,-3.152505481
1,10,0.001386,82.36450,4.639185438,-3.481482872
1,10,0.000924,11.95614,0.653843971,16.07797496
1,10,0.000924,23.91227,1.360702318,3.709682628
1,10,0.000924,35.86841,2.362084976,0.804081512
1,10,0.000924,47.82455,3.483486292,-1.145252173
1,10,0.000924,59.78068,4.115682726,-2.361836666
1,10,0.000924,71.73682,4.495913612,-3.140738704
1,10,0.000924,82.36450,4.165903871,-2.741458014
1,15,0.006653,9.54934,0,18.84190002
1,15,0.006653,19.09868,0.499395422,4.610827923
1,15,0.006653,28.64801,0.742201264,1.87344505
1,15,0.006653,38.19735,1.156243541,0.643455372
1,15,0.006653,47.74669,1.2659833,0.113305343
1,15,0.006653,57.29603,1.56922553,-0.460503106
1,15,0.006653,67.60931,1.815967016,-0.941735899
1,15,0.003327,9.54934,0.27355418,18.81200064
1,15,0.003327,19.09868,1.320057963,4.014230992
1,15,0.003327,28.64801,2.387767496,-0.184486098
1,15,0.003327,38.19735,2.819834661,-1.999421813
1,15,0.003327,47.74669,2.768622774,-2.309014029
1,15,0.003327,57.29603,2.794917904,-2.597756281
1,15,0.003327,67.60931,2.985877484,-3.186321588
1,15,0.001663,9.54934,0.451682484,18.76038418
1,15,0.001663,19.09868,1.383675214,3.945506078
1,15,0.001663,28.64801,2.442902447,-0.290902809
1,15,0.001663,38.19735,2.592402988,-1.507605109
1,15,0.001663,47.74669,2.83096768,-2.448500701
1,15,0.001663,57.29603,2.84793228,-2.717283728
1,15,0.001663,67.60931,2.975993448,-3.162776931
1,15,0.001109,9.54934,0.50893801,18.73840838
1,15,0.001109,19.09868,1.170557423,4.163004259
1,15,0.001109,28.64801,2.260532994,0.0518198
1,15,0.001109,38.19735,2.368152177,-1.063137849
1,15,0.001109,47.74669,2.589222125,-1.924962395
1,15,0.001109,57.29603,2.5574135,-2.089842338
1,15,0.001109,67.22734,2.591680065,-2.303555111
1,20,0.007577,7.19814,0,26.70337305
1,20,0.007577,14.39628,0.389087653,6.568308757
1,20,0.007577,21.59441,0.622918918,2.691418114
1,20,0.007577,28.79255,0.908817875,1.082273546
1,20,0.007577,35.99069,1.184871304,0.070904985
1,20,0.007577,43.18883,1.432334838,-0.71551645
1,20,0.007577,51.67235,1.677469809,-1.480576669
1,20,0.003789,7.19814,0.323766368,26.62891419
1,20,0.003789,14.39628,0.718534132,6.309112155
1,20,0.003789,21.59441,1.041353815,2.19675977
1,20,0.003789,28.79255,1.339086337,0.395252154
1,20,0.003789,35.99069,1.79377928,-1.217416258
1,20,0.003789,43.18883,2.236070646,-2.809839129
1,20,0.003789,51.41527,2.407117744,-3.592350865
1,20,0.001894,7.19814,0.369207262,26.60654673
1,20,0.001894,14.39628,0.755454858,6.27045611
1,20,0.001894,21.59441,1.050820668,2.182690989
1,20,0.001894,28.79255,1.464048795,0.146437166
1,20,0.001894,35.99069,1.816499727,-1.275681637
1,20,0.001894,43.18883,1.871596811,-1.746395245
1,20,0.001894,51.41527,2.275907163,-3.155887025
1,20,0.001263,7.19814,0.408968044,26.58456888
1,20,0.001263,14.39628,0.695813685,6.331937957
1,20,0.001263,21.59441,1.115195267,2.08364677
1,20,0.001263,28.79255,1.431388153,0.213609707
1,20,0.001263,35.99069,1.373451013,-0.271786383
1,20,0.001263,43.18883,1.558243981,-0.98298053
1,20,0.001263,51.67235,1.781124783,-1.735226123
1,30,0.009108,5.25507,0,36.34625774
1,30,0.009108,10.51015,0.307041595,8.93589336
1,30,0.009108,15.76522,0.4918556,3.651829592
1,30,0.009108,21.02029,0.686977956,1.517381129
1,30,0.009108,26.27537,0.887107226,0.196119512
1,30,0.009108,31.53044,1.079431601,-0.852579139
1,30,0.009108,37.36941,1.276072598,-1.883711527
1,30,0.004554,5.25507,0.238564692,36.2552983
1,30,0.004554,10.51015,0.446204332,8.768362347
1,30,0.004554,15.76522,0.71863932,3.213086484
1,30,0.004554,21.02029,0.831663024,1.16621365
