AR,phi,R/L,Fr,Qa/Qw,sigma,gbm,xgb,catb,xrt,rf
0.6,40,0.002315,3.163,0.0,53.68863227,53.690018170575776,53.95674,53.716526021061625,53.68863226999984,53.827555692634796
1.0,40,0.01039,3.96839,0.0,49.8166436,49.78403150042364,49.782646,49.76017200921775,49.816643599999644,50.92707109251505
0.6,15,0.00571,26.838,0.711508731,1.790895048,1.7823793685697782,1.9002794,1.83128378692862,1.790895048,1.95462223397006
0.6,40,0.00926,6.325,0.121434639,13.21531902,13.23276447203622,13.779517,13.271071003107773,13.215319020000031,13.387214336083815
0.6,60,0.006895,4.061,0.171144236,21.52533506,21.532399111031275,21.487165,21.65057764865918,21.525335059999875,22.0664112798204
1.0,30,0.004554,15.76522,0.71863932,3.213086484,3.2602176231866578,2.7717865,3.1847433740618474,3.215220690191382,3.148509846988015
1.0,20,0.003789,14.39628,0.718534132,6.309112155,6.2804667799733735,6.109628,6.352295598334479,6.309112155000041,6.174902527838316
0.6,20,0.00697,10.551,0.331916093,9.57165945,9.590438460444293,9.237965,9.474274394889928,9.571024542745773,10.034796741586828
1.666666667,10,0.000425,82.171,3.939630819,-2.133859055,-2.123530175399081,-2.060775,-2.1286095790162207,-2.1327979398133947,-2.2007698796407182
0.6,10,0.000667,41.52,2.723613569,-0.038517822,-0.009654417070269641,-0.06552955,0.07252498742702596,-0.03835091774777431,-0.07599364668862271
0.6,10,0.001,41.52,2.880171648,-0.190439342,-0.21756264550533122,-0.18830548,-0.22945503014062218,-0.19038935878041455,-0.3479913218982032
1.666666667,40,0.002195,16.691,0.77686451,1.68339859,1.6898329297946686,1.8241974,1.6061897033674093,1.685156733842989,1.7669879638143724
0.6,20,0.003485,21.102,1.426201964,1.003078585,0.9713615951073248,0.7742247,1.1094989627018732,1.0030785850000044,1.0485165499101774
1.666666667,15,0.000933,17.705,1.238862261,7.354573109,7.35580032243282,6.9502277,7.338546159730513,7.354573109000006,6.525925305574862
1.0,20,0.003789,35.99069,1.79377928,-1.217416258,-1.2701705582390734,-1.5509645,-1.3351293521109575,-1.2184310847305735,-1.2998036498622776
0.6,30,0.00463,16.481,1.443436875,-0.610887917,-0.5939558153811285,-0.57539743,-0.6287927036889478,-0.6108879170000049,0.03842326868263481
0.6,60,0.003448,2.031,0.0,86.83172108,86.78029675669124,87.50774,86.85592308181991,86.83172108000048,86.67539646431113
1.0,30,0.002277,37.22344,1.209351472,-1.61303051,-1.6447297889199282,-1.6853576,-1.6360941195803225,-1.6128131720059284,-1.5515557533892184
0.6,10,0.000667,31.14,2.276304771,1.317910384,1.294915893387037,1.4290072,1.3266404924985205,1.3180278162774508,1.2888288693293393
1.666666667,20,0.00484,13.921,0.459842088,9.501502018,9.534291799415671,9.569405,9.521553908867782,9.501502017999993,9.217455978125775
1.0,30,0.004554,31.53044,1.215649095,-1.352229618,-1.327363400069603,-1.2537142,-1.410888291293368,-1.3537037651424417,-1.478063461401196
1.0,30,0.001518,31.53044,0.762817966,0.079630391,0.04566518470245441,0.028659638,0.11568497312257531,0.07963039099999947,0.005910080706586806
0.6,10,0.004,62.28,3.076490509,-1.085184283,-1.077799061200449,-1.2162426,-1.140322520458529,-1.085476414845691,-1.1152867864131726
0.6,40,0.00926,15.813,0.487732259,1.488454451,1.4845391751686539,1.0465422,1.340790443754039,1.4834005161192843,1.395160197461076
0.6,15,0.001428,26.838,1.588338608,1.005190626,1.0149771992856151,0.85611224,1.0306416246468224,1.0051906260000008,1.0996951509580846
0.6,10,0.001,31.14,2.173589417,1.397059739,1.3959911468477808,1.4268156,1.2741992802346864,1.3969423067225488,1.332634984964074
1.0,60,0.003134,9.90493,0.088827279,5.280562331,5.2477737250840715,4.9051633,5.107410779495767,5.279742247112798,5.244422094137738
1.0,10,0.000924,59.78068,4.115682726,-2.361836666,-2.367469393030827,-2.374003,-2.3066025581840783,-2.3616884515919985,-2.412075737868257
0.6,10,0.004,41.52,2.606816271,0.069291758,0.06627456959534553,0.052200083,0.12931508936141256,0.06913180313353086,-0.0888406982514969
1.666666667,40,0.002195,4.173,0.244681736,53.52275556,53.50893866783675,53.945988,53.64662468301235,53.52275555999981,52.629063387724656
1.666666667,10,0.000638,54.781,2.982058652,-0.29386874,-0.28700585498190767,-0.5615097,-0.42430774191246634,-0.2937152839198794,-0.580478558772454
0.6,20,0.00697,26.377,0.619576708,1.277778623,1.30088035740367,1.682568,1.2484440011685347,1.2777786230000046,1.345374502275447
0.6,30,0.001543,24.721,0.906063881,-0.107781861,-0.12587293759213783,-0.21390195,-0.21831451014466552,-0.11028657707344175,-0.04861800239520937
1.666666667,60,0.006025,16.074,0.437944845,1.21634335,1.1529509810962648,1.2456924,1.1167197570971128,1.2163433499999925,1.400924444359278
1.666666667,30,0.003455,38.052,1.885108592,-4.67749855,-4.616703797671932,-4.433245,-4.580339122461208,-4.677498550000036,-4.10392865831736
0.6,15,0.00571,13.419,0.232519193,7.845917134,7.851554862676798,8.029637,7.968259350370618,7.845917134000036,10.224888389485047
1.666666667,30,0.003455,21.744,1.459100213,-0.681742337,-0.7371399874194408,-0.7594125,-0.5112718256745499,-0.6817423370000023,-0.7806964269940134
