AR,L,phi,QW,Qa,h,Va,R,sigma,gbm,xgb,rf,catb,xrt
1.666666667,1,40,3.9,0.0,2.16,0.0,0.00878,53.68863227,53.681105817301415,53.335827,53.64358120092647,53.755695801654376,53.65395126166026
0.6,4,40,3.9,0.0,3.76,0.0,0.00926,53.68863227,53.717272903477564,53.79544,53.668784577347566,53.7251649721374,53.688632270000255
1.0,1,40,4.1,0.0,7.9886,0.0,0.01038986,49.8166436,49.78712009184487,49.897118,50.410559900778686,49.95726529354866,49.7967374161699
0.6,1,15,7.6,5.407466355,1.41,3.4,0.00571,1.790895048,1.7802310853453565,1.8229271,1.9819651801281861,1.7599934428339532,1.8126524860303956
0.6,1,40,7.8,0.947190185,3.76,1.34,0.00926,13.21531902,13.205677473521474,13.060259,13.359968820825914,13.206887234592532,13.100348149063574
0.6,2,60,9.2,1.574526968,5.64,0.99,0.01379,21.52533506,21.500066398316775,21.349888,20.435524547972527,21.498398554230665,21.486897214889844
1.0,2,30,10.8,7.761304651,7.6656,4.88,0.00910836,3.213086484,3.253937492461496,3.3085947,3.2575521242189436,3.2743251409319223,3.221228972351799
1.0,2,20,5.6,4.023791141,7.0444,2.53,0.00757704,6.309112155,6.271214053366737,6.2408414,6.476688435914465,6.323577965674341,6.3318328306034095
0.6,1,20,4.6,1.52681403,1.88,0.96,0.00697,9.57165945,9.618455418832664,10.423064,11.702610331037043,9.61538116999028,9.861753184946988
1.666666667,6,10,9.6,37.82045586,0.54,23.78,0.00255,-2.133859055,-2.1562082819839112,-2.277195,-2.220010935778117,-2.207528249676308,-2.1486570156050018
0.6,6,10,6.4,17.43112684,0.94,10.96,0.00400002,-0.038517822,-0.04132425952468175,-0.16745508,-0.03794175309263145,-0.11037816205286433,-0.03860541505399979
0.6,4,10,6.4,18.43309855,0.94,11.59,0.004,-0.190439342,-0.16229718189185252,-0.16745508,-0.17186747012421075,-0.16246601969975316,-0.1872142599240002
1.666666667,4,40,15.6,12.11908636,2.16,7.62,0.00878,1.68339859,1.6662220782668278,1.7382917,1.530440531157844,1.8389968556417102,1.661041237377011
0.6,2,20,9.2,13.12105807,1.88,8.25,0.00697,1.003078585,0.9699725350484429,0.80090636,0.8884878595349768,1.077729378983319,0.9891496584045025
